z1,z2,z3
0,0,48176
0.683979603,-1.421425357,35792
0.317249137,-3.739283319,36376
-0.286876598,-5.195634692,29784
-1.244568313,-7.434687212,21296
-2.013465328,-7.956824309,17032
-2.636875398,-8.419441629,22804
-2.671640305,-7.84133233,27476
-2.421579912,-8.263660058,21168
-3.212854285,-9.360909556,29928
-4.571089504,-8.875065847,37516
-3.950180755,-8.270840451,62156
-3.34843848,-8.146694234,44672
-2.920069128,-8.799547565,40500
-4.114002015,-8.600465009,36608
-2.707665515,-9.687891451,28524
-3.94534951,-9.87222974,23060
-3.725550822,-9.683152353,15760
-3.127310312,-9.704682259,20892
-3.257426392,-9.02508579,28992
-3.430266857,-9.650355605,23048
-1.978971365,-9.080897945,35052
-2.333280117,-7.969913019,40564
-2.553355652,-7.06887337,69304
-2.290532455,-8.724522955,49968
-2.566230688,-10.54387151,42068
-2.82921761,-12.32078164,41512
-2.63519948,-13.47143253,29272
-3.107287934,-13.22490194,25868
-2.488604612,-11.87910449,18216
-3.161302534,-10.61484886,23166
-4.042259403,-10.46914446,29808
-1.766981033,-10.34523034,25232
-0.592161396,-10.23732471,33780
0.250828846,-9.133461726,43916
-0.188359183,-8.842370405,69576
-1.029789342,-8.613883805,48224
-0.634571022,-9.849326652,51353
-0.301483809,-10.34820452,46784
-0.653263329,-10.34688295,31284
1.644635131,-11.8124909,26681
-1.722617255,-11.69260416,22817
-0.1651104,-12.92946537,26944
-0.354541345,-14.45804078,32902
0.032507765,-15.82287055,25567
-0.258454284,-18.00561537,37113
-0.37482857,-18.54424036,44788
-1.332679963,-18.25412745,70706
-0.137573001,-18.1293781,49699
-0.942335211,-17.08155338,48783
-1.92939151,-16.83048881,46172
-1.799462573,-16.8239443,33932
-1.459898187,-16.85258086,29105
-0.836848635,-16.19294321,24159
-2.213782513,-15.11103143,29089
-1.050236477,-14.8927683,33134
0.218506685,-15.1216738,29011
-0.500541565,-15.73809103,39303
-0.485349434,-17.28846549,44924
0.317248773,-17.88265628,70726
2.309705059,-18.43812911,50300
1.175853637,-17.26058625,46463
0.204221481,-17.14133559,42435
-0.158516239,-15.86715723,37339
0.639816117,-18.23228526,29408
0.397207943,-18.78134192,24699
-1.043202158,-19.98641105,30412
-1.660264505,-20.60457471,35463
-1.301183729,-21.85029347,30226
-1.018458001,-23.41059855,38294
0.23130257,-24.10762331,44954
0.035377287,-22.62978169,71733
-1.750097116,-23.79150978,50086
-0.289706555,-26.97693929,48477
0.124523497,-27.97380619,46567
-0.976695626,-27.34078211,35892
-0.698346325,-27.43950925,29343
0.584170056,-26.71306884,26708
0.687156026,-27.7100208,34600
-0.531346557,-28.11309361,36401
-1.284539121,-27.97720205,33776
-1.021720047,-27.67648834,42426
-0.984701055,-27.79904606,47551
-2.527457451,-28.94539389,76638
-2.02953233,-28.89435654,50805
-0.916179245,-28.63109174,52441
-0.827774395,-29.7789133,51860
-0.053355118,-30.225538,45661
0.627339556,-29.95376159,34516
0.281387348,-27.57803477,31611
-1.204043973,-27.76067493,35560
-0.062512302,-26.77482826,39301
-1.019160696,-23.33950963,37164
-2.389896605,-21.04457284,47088
-2.264666139,-19.56646318,56558
-1.667040241,-19.01075087,85046
1.706952102,-19.40634328,57417
0.612883537,-19.43917113,63805
0.696975453,-18.28815639,63268
0.700913527,-18.11819489,52035
1.270576748,-17.65638532,40792
1.321904383,-17.1021585,39359
1.599278034,-15.81221495,39396
1.004490764,-14.6748355,49867
1.813833182,-14.43854254,42707
-0.027513031,-14.54596552,54258
-1.100310605,-16.33288495,71207
-0.891548967,-19.04278219,95447
0.255969507,-20.10376574,67178
0.784546757,-21.25882132,69783
0.906924863,-20.1853606,67044
-0.784533281,-21.22739273,57089
-0.68492504,-22.38315457,41080
-1.268241501,-22.38736912,39461
-0.508647335,-21.53555437,43041
0.626385995,-21.66893706,50437
1.631151965,-22.82206785,48836
0.854605016,-24.92371009,60612
-0.044428982,-26.18243982,79483
0.674173696,-27.10485386,109380
0.798117373,-26.18419539,77730
0.679214572,-26.14827973,85908
2.727961513,-24.56395225,70152
2.348134565,-23.78375468,62820
3.744231093,-23.72459523,48180
2.859129975,-22.82311424,47103
2.240740869,-23.10666352,54048
0.361779961,-22.60590441,53600
-0.834965256,-22.173819,60240
-0.437393019,-22.20793092,76776
-0.639076674,-22.0950681,92300
0.449258418,-21.64853755,115456
-0.688420265,-20.10269074,83545
-2.862881401,-18.41768938,85689
-3.58044043,-18.39467925,75735
-3.649473551,-17.19263692,60824
-4.314960237,-14.44563738,49761
-4.898076784,-12.40221418,51344
-2.490871704,-10.52397576,60480
-1.756265199,-9.264252986,58320
-2.629802669,-8.399619089,64920
-3.453841106,-7.492635664,76208
-4.904271624,-6.31390023,82082
-4.979170169,-6.504328903,115984
-2.440538642,-7.229614839,79794
-0.877776463,-7.914127408,89451
-1.541674681,-7.81961334,78354
-0.627027071,-9.925326558,65079
-0.78961386,-10.91926487,47862
-1.120245028,-8.54644681,55107
-1.280876432,-6.398368049,63010
-0.422868085,-4.989509195,64889
-0.180174107,-4.790355823,69817
-1.565396982,-4.952595609,74272
-1.601807231,-4.592612289,87350
-1.057841692,-5.372613041,126093
-1.091278258,-4.475552517,98232
-0.282839676,-1.725239807,93600
-0.303092131,-0.677465543,88120
0.971010798,-2.266035753,78138
1.162448445,-4.679784594,55242
3.002540085,-7.243242956,57438
2.964139902,-5.953963602,68288
2.605212358,-5.984027352,69432
1.178280388,-5.093620215,68030
1.496999698,-4.182079579,80355
1.450092761,-3.904868049,92631
0.362793154,-4.898539014,126504
1.093576415,-4.611812241,88584
1.174089331,-4.675540285,94010
1.340784941,-4.518881616,88410
0.805734426,-3.751424818,62645
0.394490511,-1.356427291,55230
1.51109599,0.700493604,58256
1.898723862,1.001264591,69860
1.477410355,2.372330475,69399
2.873005233,1.730372549,70587
2.392473013,1.660816634,81389
2.425373485,0.826785886,98956
1.755758162,-0.381565958,126144
2.751753143,-0.457112138,92612
3.41788326,-0.244465136,115790
3.584234395,0.81906764,98846
3.328358265,2.246713283,79520
3.359176549,2.20218912,61880
4.199464083,2.439910591,58180
2.590786389,3.102773308,80201
1.101980766,2.769061214,70037
1.004577762,3.82345621,70704
-0.462114121,5.436087969,83699
0.717817331,7.080806429,103356
1.737392608,9.423482146,140856
3.194101082,10.7555123,112104
2.345498028,10.72348073,118848
2.434302762,11.30496777,107172
1.640664622,11.079729,88308
0.478981756,9.255204033,67639
-1.243295867,7.658713546,62361
0.628163415,4.845165497,79365
-1.176020262,4.301572323,74580
0.440148351,4.405299419,78792
-2.85401839,5.232242723,99780
-3.400352407,5.305145905,116857
-3.574695344,6.172431091,151172
-4.000347669,6.398330977,124446
-2.445253562,6.419504411,140616
-2.808780237,7.246318653,129402
-2.900239798,6.548574542,96960
-2.894601393,5.076318893,73296
-4.33044578,3.288661338,69990
-4.754657051,2.304120532,93401
-2.893941091,1.563590735,88296
-1.371984153,2.082968755,92183
-0.945136497,2.366283869,114632
0.105174221,0.125579503,131628
0.329567145,-0.413704036,167715
-0.386952225,1.188827541,137792
0.372228473,4.638376324,144540
1.085904099,6.468763676,132570
1.179181412,8.419596288,110097
1.274053826,9.376527629,80179
0.943092647,11.44475071,73931
2.064929079,11.66201366,102908
1.515708888,12.18463295,92582
2.063255812,12.52331849,95115
2.129832937,12.66967154,116850
2.659505808,11.90066028,135015
1.905715979,12.99058178,187216
2.381704861,13.56768518,NA
1.992703428,15.66715411,NA
3.092205416,17.12775619,NA
3.169277816,18.04038705,NA
2.35081211,15.61930719,NA
2.257964721,14.26842818,NA
1.647924072,12.68313708,NA
2.58119176,13.22827945,NA
2.287589387,13.5434779,NA
3.6180539,12.94995208,NA
3.150061699,12.44102448,NA
2.971345937,12.38374202,NA
2.994827615,12.28310835,NA
2.302155143,13.46351357,NA
3.288258017,15.433417,NA
3.054368586,14.49856249,NA
2.364507651,14.66487502,NA
3.296118501,13.59911605,NA
1.650315935,13.53128238,NA
1.971437233,12.90903889,NA
2.556991524,12.56968091,NA
2.66272916,9.591683325,NA
2.885184477,7.295668707,NA
3.138616035,5.015265552,NA
4.170091259,2.942598227,NA
4.190754105,0.529498712,NA
4.223327342,1.152740277,NA
3.722085158,3.029972922,NA
2.556309312,4.487293813,NA
1.920984535,5.50700026,NA
0.427458757,5.869854528,NA
1.584019244,6.630095294,NA
-0.248957511,5.905722216,NA
0.353561062,5.86210844,NA
0.030155419,6.242232478,NA
-0.173617381,6.855202191,NA
1.224648333,7.89358518,NA
-0.705404613,8.552156576,NA
-1.552264974,10.03229199,NA
-0.683280835,11.52973068,NA
-1.199807449,12.69761279,NA
-0.998598684,12.68199155,NA
-1.726776122,12.12814067,NA
-2.982870257,10.92633113,NA
-2.920614535,9.303379804,NA
-1.857131957,7.837525773,NA
-2.181438527,8.641397123,NA
-1.947743172,7.434610939,NA
-1.70824294,7.131813269,NA
-2.274815801,6.936670752,NA
-2.179958682,7.691375829,NA
-3.433494016,7.7498851,NA
-4.205573718,7.138774111,NA
-5.492018791,7.207387536,NA
-4.446858718,7.692420939,NA
-5.714652436,8.700149906,NA
-5.532631824,9.712604516,NA
-3.591524219,10.81559128,NA
-0.552610254,11.804889,NA
0.108974079,13.16495603,NA
0.769987677,14.25007257,NA
-0.492382479,15.70570973,NA
1.304138536,16.56868503,NA
1.526041086,17.002794,NA
2.094454711,17.28951281,NA
2.71962728,16.40562416,NA
2.455161184,15.44937498,NA
1.947950433,13.3685683,NA
3.269077198,12.65877582,NA
1.909345227,12.8694346,NA
